"Title","Authors","Date","Codigo","JEL","Palabras.Claves","Keywords","Resumen","Abstract","Idioma"
"Determinantes de la tasa de cambio en Colombia : un enfoque de microestructura de mercados","Murcia, Andrés;Rojas, Diego","2013-11-01","Borradores de Economía; No. 789","C81;D82;G14","Tasa de cambio;Microestructura de mercados;Modelos EGARCH;Encuesta de microestructura","Exchange rate;Market microstructure;EGARCH models;Microstructure survey","En este trabajo se brindan elementos adicionales en la comprensión de la dinámica de la tasa de cambio en Colombia. Por una parte, se analiza la información de una encuesta dirigida a los agentes del mercado cambiario; en ella se resalta la diferencia que exhiben los agentes en torno a los determinantes de corto, mediano y largo plazo. En el primer caso, los determinantes responden principalmente a efectos de microestructura; mientras que a mediano y largo plazo, la tasa de cambio responde principalmente a sus fundamentales. Los agentes también resaltan la 05r importancia de los factores internacionales con respecto a los locales en la dinámica de esta variable. Este estudio se concentra especialmente en los determinantes de corto plazo de la tasa de cambio. Con el objetivo de enmarcar la determinación de esta variable se presenta un modelo teórico desarrollado por Kyle (1985) donde se resalta la importancia de los factores de microestructura en un escenario de información asimétrica y agentes estratégicos. Con base en estos determinantes se estimó un modelo de microestructura, utilizando información intradía descargada directamente de las pantallas de negociación. Este modelo es utilizado para corroborar algunos resultados de la encuesta realizada. En particular, se valida la 05r importancia de factores internacionales respecto a los factores locales, y también se evalúa el impacto de la intervención del Banco de la República sobre la dinámica del tipo de cambio.","This work seeks to provide some additional elements in understanding the dynamics of the exchange rate in Colombia. First, it uses information from a survey directed to the exchange rate market players. It highlights the difference exhibited by market par","spa"
"Uncertainty in the money supply mechanism and interbank markets in Colombia","González-Sabogal, Camilo;Silva-Escobar, Luisa Fernanda;Vargas-Riaño, Carmiña Ofelia;Velasco, Andrés M.","2013-11-01","Borradores de Economía; No. 790","G21;E44;E52","Tasa de cambio;Microestructura de mercados;Modelos EGARCH;Encuesta de microestructura","Interbank market;Overnight rates;Reserve demand",NA,"We set a dynamic stochastic model for the interbank daily market forfunds in Colombia. The framework features exogenous reserve requirements and requirement period, competitive trading among heterogeneouscommercial banks, daily open market operations held","spa"
"Credit cycles, credit risk and countercyclical loan provisions","López-Piñeros, Martha Rosalba;Tenjo-Galarza, Fernando;Zárate-Solano, Hector Manuel","2013-11-01","Borradores de Economía; No. 788","G21;E32;E51;E60;G18","Tasa de cambio;Microestructura de mercados;Modelos EGARCH;Encuesta de microestructura","Ex ante credit risk;Credit cycles;Countercyclical provisioning",NA,"In this paper we investigate the impact of rapid credit growth on ex ante credit risk. We present micro-econometric evidence of the positive relationship between rapid credit growth and deterioration in lending portfolios: Loans granted during boom period","spa"
"Do single-sex classes affect achievement? : a study in a coeducational university","Booth, Alison L.;Cardona-Sosa, Lina Marcela;Nolen, Patrick","2013-10-01","Borradores de Economía; No. 787","J24;C92;J16;C91;C9","Tasa de cambio;Microestructura de mercados;Modelos EGARCH;Encuesta de microestructura","Gender;Single-sex groups;Cognitive ability",NA,"We examine the effect of single-sex classes on the pass rates, grades, and course choices of students in a coeducational university. We randomly assign students to all-female, all-male, and coed classes and, therefore, get around the selection issues pres","spa"
"Gender differences in risk aversion : Do single-sex environments affect their development?","Booth, Alison L.;Cardona-Sosa, Lina Marcela;Nolen, Patrick","2013-10-01","Borradores de Economía; No. 786","C91;C92;J16;D01;D80;J24;C9","Tasa de cambio;Microestructura de mercados;Modelos EGARCH;Encuesta de microestructura","Gender;Risk preferences;Single-sex groups;Cognitive ability",NA,"Single-sex classes within coeducational environments are likely to modify students' risktaking attitudes in economically important ways. To test this, we designed a controlled experiment using first year college students who made choices over real-stakes","spa"
"¿Quiénes eligen la disciplina de la educación en Colombia? Caracterización desde el desempeño en las pruebas SABER 11","Barón-Rivera, Juan David;Bonilla-Mejía, Leonardo;Cardona-Sosa, Lina Marcela;Ospina, Monica","2013-10-01","Borradores de Economía; No. 785","J31;I21;I28","Maestros;Profesores;Competencia;Calidad","Quality;Ability","Poco se sabe en Colombia acerca de las competencias académicas de los maestros. Este documento investiga sobre el estándar académico de las personas que cursan y se gradúan de programas superiores en educación. Los resultados indican que existe una relación inversa entre el desempeño en la prueba de Estado SABER 11 y la probabilidad de estudiar (y/o graduarse) de un programa en el área de educación. Estimamos que esta probabilidad es cinco veces más alta cuando se obtuvo un puntaje en las pruebas SABER 11 entre los más bajos que cuando se obtuvo un resultado entre los más altos. Esta diferencia es aún mayor para las mujeres. El documento discute algunas hipótesis que explicarían estos resultados.",NA,"spa"
"The impact of different types of foreign exchange intervention : an event study approach","Echavarría-Soto, Juan José;Melo-Velandia, Luis Fernando;Villamizar-Villegas, Mauricio","2013-10-01","Borradores de Economía; No. 784","F31;E52;E58","Maestros;Profesores;Competencia;Calidad","Central bank intervention;Foreign exchange intervention mechanisms;Event study",NA,"To date, there is still great controversy as to which exchange rate model should be used or which monetary channel should be considered, when measuring the effects of monetary policy. Since most of the literature relies on structural models to address ide","spa"
"Price-level targeting : an omelette that requires breaking some inflation-targeting eggs?","Acuña-Roa, Luisa F.;Parra-Polanía, Julián Andrés","2013-09-01","Borradores de Economía; No. 783","E58;E52","Maestros;Profesores;Competencia;Calidad","Inflation targeting;Price-level targeting;Indexation;Macroeconomic stability",NA,"This paper can be divided into two main parts. The first one, using a simple example by Minford (2004) and Hatcher (2011), gives the reader a basic introduction to understand the comparison between two monetary-policy regimes: Inflation Targeting (IT) and","spa"
"Shadow banking y liquidez en Colombia","Cardozo-Ortiz, Pamela Andrea;Cely, Jorge;Murcia, Andrés","2013-09-01","Borradores de Economía; No. 780","G24;D82;D84","Prociclicidad;Liquidez;Decisiones de apalancamiento","Shadow banking","En este estudio calculamos un indicador de la actividad de shadow banking en Colombia para el período comprendido entre 01 de 2011 y 03 de 2013. Dicho indicador sugiere que esta actividad ha venido incrementándose y representa cerca del 9,9% del PIB de 2012. Adicionalmente, evaluamos el nivel de prociclicidad que puede tener la decisión de apalancamiento de un grupo de intermediarios financieros especialmente asociados a este tipo de actividad, encontrando que dicha prociclicidad está asociada a un 05r uso de operaciones repo y de simultáneas por parte de los intermediarios financieros. Finalmente, a través de la adaptación de un modelo teórico de liquidez y apalancamiento (Tirole, 2011) planteamos bajo qué condiciones dichas decisiones de apalancamiento se tornan procíciclicas.","In this study we calculate an indicator of the shadow banking activity in Colombia for the period between January 2011 and March 2013. This indicator suggests that this activity has been increasing, accounting for about 9.9% of GDP in 2012. Additionally,","spa"
"Assessing reserve adequacy : the colombian case","Gómez-Restrepo, Javier;Rojas-Bohórquez, Juan Sebastián","2013-09-01","Borradores de Economía; No. 781","F32;E58","Nivel adecuado de reservas","International reserves;Reserve optimality;Reserve adequacy;Reservas internacionales;Nivel óptimo de reservas","Las reservas internacionales son muy importantes para las economías emergentes, ya que permiten amortiguar las posibles vulnerabilidades de liquidez que se puedan presentar en la balanza de pagos. En consecuencia, la cuestión de cuántas reservas debe acumular cada país es un tema relevante para la política económica. La literatura ha identificado dos enfoques metodológicos diferentes para hacer frente a este problema, a saber, nivel óptimo de reservas e indicadores de nivel adecuado, que son revisados cuidadosamente en este trabajo para determinar cuál es el más conveniente para orientar las decisiones de política en el caso Colombiano. Se adoptó el indicador propuesto por el FMI en 2011 para encontrar el nivel adecuado que se debe tener calibrando datos históricos para Colombia. Este nuevo índice conservador sugiere que los niveles de acumulación de reservas han sido adecuados en los últimos años y que sólo en casos muy extremos hay espacio para adquirir reservas adicionales. Por último, cabe destacar que la metodología desarrollada en este trabajo es un complemento a las medidas ya existentes para evaluar los niveles de reservas internacionales que Colombia debe acumular con el fin de reducir su vulnerabilidad a los choques externos.","International reserves are very important for emerging economies, as they allow to buffer possible liquidity vulnerabilities within a countries' balance of payments. Consequently, the issue of how many reserves should each country hold is a relevant issue","spa"
"An Exploration on Interbank Markets and the Operational Framework of Monetary Policy in Colombia","González, Camilo;Silva-Escobar, Luisa Fernanda;Vargas-Riaño, Carmiña Ofelia;Velasco, Andrés M.","2013-09-01","Borradores de Economía; No. 782","G21;E44;E52","Nivel adecuado de reservas","Interbank Market;Overnight Rates;Reserve Demand",NA,"We set a dynamic stochastic model for the interbank daily market for funds in Colombia. The framework features exogenous reserve requirements and requirement period, competitive trading among heterogeneous commercial banks, daily open market operations he","spa"
"Efectos de ""ángeles caídos"" en el mercado accionario colombiano : estudio de eventos del caso Interbolsa","Gómez-González, José Eduardo;Melo-Velandia, Luis Fernando","2013-09-01","Borradores de Economía; No. 779","G12;G11;G14","Estudio de eventos;Bolsa de valores;Comisionista de bolsa",NA,"En este documento realizamos un estudio de eventos para estudiar los efectos del anuncio de problemas de liquidez y toma de posesión por parte de la Superintendencia Financiera de Colombia de la firma comisionista de bolsa Interbolsa S.A. en noviembre de 2012 sobre el rendimiento de las acciones transadas en la Bolsa de Valores de Colombia. Utilizamos datos diarios y diferentes ventanas de tiempo para el evento, y estimamos los retornos usando tres modelos alternativos (CAPM, CAPM con tasa libre de riesgo y modelo de tres factores) en los que modelamos la varianza condicional usando un modelo EGARCH (1,1). En general, encontramos que el evento afectó significativamente los rendimientos de las firmas listadas en la Bolsa en todos los modelos y para todas las ventanas de tiempo utilizadas.",NA,"spa"
"Peers effects on a fertility decision : an application for Medellín, Colombia","Morales-Zurita, Leonardo Fabio","2013-08-01","Borradores de Economía; No. 777","J13","Estudio de eventos;Bolsa de valores;Comisionista de bolsa","Fertility;Family planning;Demographic economics;Social interaction models",NA,"This paper addresses the estimation of peer group effects on a fertility decision. The peer group is composed of neighbors with similar socio-demographic characteristics. In order to deal with the endogeneity problem associated to the estimation of neighb","spa"
"La agricultura colombiana de cara a los pactos bilaterales de comercio","Cano-Sánz, Carlos Gustavo","2013-08-01","Borradores de Economía; No. 778","F14;F13","Agricultura;Mercado;Tratados de libre comercio",NA,NA,"The primary obstacle to genuine multilateral global trade liberalization has been the extreme protection of agriculture in the wealthiest economies. The route left open after the collapse of the Doha Round is that of bilateral free trade agreements, which","spa"
"The effects of punishment of crime in Colombia on deterrence, incapacitation, and human capital formation","Guarín, Arlen;Medina-Durango, Carlos Alberto;Tamayo-Castaño, Jorge Andrés","2013-07-01","Borradores de Economía; No. 774","C21;K42;H56","Agricultura;Mercado;Tratados de libre comercio","Crime;deterrence;Regression discontinuity",NA,"Based on individual data on the population of those arrested in Medellín, we assess whether the change in punishment at age 18, mandated by law, has a deterrent effect on arrests. No deterrent effect was found on index, violent or property crimes, but a d","spa"
"Acceso a servicios financieros en Colombia","Cano-Sánz, Carlos Gustavo;Esguerra-Umaña, María del Pilar;García-Bohórquez, Nidia;Rueda-Gil, Jorge Leonardo;Velasco, Andrés M.","2013-07-01","Borradores de Economía; No. 776","D14;G28;D18","Inclusión financiera;Capacidades Financieras;Regulación en Colombia",NA,"El acceso a los servicios financieros constituye un derecho fundamental contemporáneo y un instrumento insustituible en la asignación de los recursos que permitan la acumulación de capital. Así las cosas, desde el ángulo del crecimiento y la igualdad, el alcance social de dicha herramienta resulta crucial para el desarrollo económico en términos de equidad y sostenibilidad. Por tal motivo, la exclusión financiera equivale a una forma de exclusión social. Lo cual justifica que con la más alta prioridad el Estado garantice a través del marco regulatorio el acceso a los servicios financieros de los segmentos más vulnerables de la población. En este trabajo, se discute la importancia de la definición de inclusión financiera en contraposición al concepto tradicional de bancarización; y se analizan las variables que determinan la inclusión financiera desde el punto de vista de la demanda, a través de la agregación de los servicios financieros.",NA,"spa"
"Combinación de brechas del producto colombiano","Sánchez-Beltrán, Paulo Mauricio;Melo-Velandia, Luis Fernando","2013-07-01","Borradores de Economía; No. 775","E37;C32;C53","Combinación de densidades de pronóstico;Brecha del producto;Pronósticos directos;Modelos VAR",NA,"Este documento combina estimaciones de ocho metodologías de la brecha del producto colombiano para el período comprendido entre el primer trimestre de 1994 y el tercer trimestre de 2012. A partir de modelos VAR que incluyen las diferentes brechas y la inflación se construyen las densidades combinadas de pronósticos de la brecha mediante el uso de tres esquemas de ponderación: logarítmicos, basados en puntuaciones de rango de probabilidad continuo (CRPS) y basados en el error cuadrático medio (MSE). Los resultados sugieren que las densidades combinadas bajo estos tres esquemas con horizontes de pronóstico de uno, dos, tres y cuatro trimestres adelante están bien especificadas. Adicionalmente, las puntuaciones logarítmicas calculadas sobre estas densidades muestran que las metodologías basadas en ponderadores logarítmicos para horizontes de pronóstico de dos y tres trimestres tienen significativamente un mejor desempeño que las calculadas por los ponderadores CRPS y MSE.",NA,"spa"
"Evolución de las cifras fiscales entre 2007 y 2011 : gobiernos centrales de las principales seis ciudades colombianas","Muñoz-Ocampo, Cesar Augusto","2013-07-01","Borradores de Economía; No. 773","H75;H76;H2;H11;H71;H72;H74","Finanzas públicas;Seis capitales;Ejecución presupuestal;Formulario Único Territorial- FUT-;Ingresos y egresos Per Cápita;Balance fiscal",NA,"Este artículo analiza la evolución entre 2007 y 2011, de las cifras fiscales de las seis ciudades con 05res ingresos en 2011 en Colombia: Bogotá, Medellín, Cali, Barranquilla, Cartagena y Bucaramanga. La ciudad que registró 05res progresos en términos de esfuerzo fiscal en el período analizado fue Barranquilla, seguida de Bucaramanga. Más recientemente, Cartagena también incrementó en forma destacable sus ingresos propios. Cuando se califica el desempeño fiscal con base en la magnitud del gasto por habitante que sea sostenible para las ciudades, Medellín se resalta en el primer lugar, seguida relativamente de cerca de Bogotá. Barranquilla y Cartagena vendrían después, con cierta distancia de las dos primeras; posteriormente Bucaramanga, y finalmente, y con un desempeño bastante pobre, Cali.","The article analyzes the evolution between 2007 and 2011, of the fiscal figures of the main six Colombian cities based on their earnings in 2011: Bogotá, Medellín, Cali, Barranquilla, Cartagena and Bucaramanga. The city that registered the largest advance","spa"
"Accesibilidad geográfica y equidad en la prestación del servicio de salud: un estudio de caso para Barranquilla","Pérez-Valbuena, Gerson Javier","2013-06-01","Borradores de Economía; No. 770","C35;R53;I18","Finanzas públicas;Seis capitales;Ejecución presupuestal;Formulario Único Territorial- FUT-;Ingresos y egresos Per Cápita;Balance fiscal","Health economics;spatial accessibility;generalized threshold models","En este artículo se utiliza la ampliación de la red pública hospitalaria de Barranquilla, como un cuasi-experimento que evalúa los avances en la accesibilidad geográfica y la equidad en la prestación del servicio de salud. En particular, se emplean medidas de gravedad para calcular la accesibilidad considerando restricciones a la movilidad así como información de demanda por servicios de salud. Adicionalmente, se utiliza información de satisfacción con el fin de evaluar los niveles de equidad logrados con la ampliación de la red pública. Los resultados muestran avances significativos en accesibilidad geográfica entre 2008 y 2013, especialmente para los habitantes de las localidades más pobres. En términos de equidad, se encontró que los factores socioeconómicos siguen siendo determinantes de los niveles de satisfacción de los usuarios del sistema de salud.","In this paper, I use changes adopted in the public health provision network in Barranquilla in 2008, as a quasi-experiment to assess the improvements in geographic accessibility and equity health care. In particular, I compute gravity-based measures of ac","spa"
"Cambio tecnológico sesgado : desigualdad, crecimiento económico y política fiscal","Ávila-Montealegre, Oscar Iván","2013-06-01","Borradores de Economía; No. 769","E62;O40;O3;J31","Cambio tecnológico sesgado;Desigualdad;Crecimiento económico;Politica fiscal",NA,"Durante las últimas décadas el incremento en la desigualdad experimentado por algunas economías desarrolladas ha estado relacionado con la adopción de tecnologías que utilizan intensivamente la mano de obra calificada. En este documento se plantea un modelo teórico en el que se recoge parte de la evidencia empírica sobre los efectos del cambio tecnológico sesgado sobre el crecimiento y la desigualdad. De igual forma, se analiza la efectividad de la política pública para suavizar los efectos negativos del cambio tecnológico sobre la brecha salarial y aprovechar sus bondades, en términos de crecimiento. Los resultados del modelo evidencian que ante un choque tecnológico, una política fiscal eficiente permite alcanzar un equilibrio de largo plazo con 05r expansión del PIB y menor brecha salarial que en la situación inicial.",NA,"spa"
"Bank lending, risk taking, and the transmission of monetary policy : new evidence for Colombia","Reyes-Nidia, Ruth;Gómez-González, José Eduardo;Ojeda-Joya, Jair N.","2013-06-01","Borradores de Economía; No. 772","E5;G21;E59;E52","Cambio tecnológico sesgado;Desigualdad;Crecimiento económico;Politica fiscal","Monetary policy transmission;Bank lending channel;Risk taking channel;Colombia",NA,"We study the  existence of a monetary policy transmission mechanism through banks in Colombia, using monthly banks' balance sheet data for the period 1996:4 – 2012:12. We obtain results which are consistent with the basic postulates of the bank lending ch","spa"
"Metodología de perfiles coincidentes para determinar indicadores líderes y contemporáneos, estudio de caso","Martinez-Rivera, Wilmer Osvaldo","2013-06-01","Borradores de Economía; No. 771","E37;E32;C12;C14;C32","Perfil coincidente;Bry Boschan;Indicadores coincidentes y líderes",NA,"En este documento se propone utilizar la metodología de perfiles coincidentes propuesta por Martínez (2010), con el fin de determinar si un conjunto de indicadores obtenidos de encuestas de  opinión y otras fuentes son coincidentes o líderes de los indicadores económicos observables y, que puedan dar señales sobre su comportamiento presente y futuro. En una aplicación para encuestas de opinión empresarial de Fedesarrollo, se encontraron preguntas que son coincidentes al PIB y para alguno de sus componentes, incluso se evidencia liderazgo de hasta cuatro trimestres. La aplicación fue desarrollada en el programa estadístico R.","This paper I use the coincident profile methodology proposed by Martínez (2010), in order to determine if a set of indicators derived from surveys of opinion and other sources are coincident or leading of the observable economic indicators, and which in t","spa"
"The interdependence between credit and real business cycles in latin american economies","Gómez-González, José Eduardo;Ojeda-Joya, Jair N.;Tenjo-Galarza, Fernando;Zárate-Solano, Hector Manuel","2013-06-01","Borradores de Economía; No. 768","C32;E32;E44","Perfil coincidente;Bry Boschan;Indicadores coincidentes y líderes","Short and medium-term cycles;Frequency domain;Granger causality;Credit booms and crunches;Recession",NA,"In this document we estimate credit and GDP cycles for three Latin-American economies and study their relation in the time and frequency domains. Cycles are estimated in order to analyze their medium and short-term frequencies. We find that short-term cyc","spa"
"El mercado OTC de valores en Colombia : caracterización y comparación con base en el análisis de redes complejas","León-Rincón, Carlos Eduardo;Pérez-Villalobos, Jhonatan","2013-05-01","Borradores de Economía; No. 765","D85;E42;G2","Mercado sobre el mostrador;OTC;Deuda pública;análisis de redes","Minimal spanning tree","Este documento expone cómo se conforma y articula el mercado OTC de valores en el caso colombiano. Así mismo, en el marco del mercado de deuda pública local, con base en el análisis de redes complejas, este documento describe, caracteriza y compara al mercado OTC con los organizados (SEN y MEC). Los resultados sugieren que (i) existe una semejanza estructural entre las redes del OTC y del MEC, donde, de acuerdo con la literatura, éstas se pueden catalogar como robustas ante choques aleatorios, pero frágiles ante choques dirigidos; (ii) el SEN, por sus diferencias estructurales, es una red menos frágil, pero menos robusta; (iii) el SEN contribuye de manera decisiva a la estructura jerárquica del mercado de valores de deuda pública; y (iii) pese a que el SEN es el que más contribuye al valor total de las operaciones, la estructura del mercado de valores de deuda pública en su conjunto se asemeja a las redes del OTC y del MEC.    Además de ser la primera aproximación de este tipo al mercado secundario de deuda pública local, los resultados señalan que (i) el mercado en su conjunto es robusto, pero frágil; (ii) la regulación, supervisión y seguimiento deben dar prioridad a instituciones financieras que tengan un carácter central; (iii) la utilización del SEN como benchmark de la estructura del mercado de deuda pública local es inconveniente; y (iv) la comprensión del mercado de deuda pública exige de un análisis estructural y consolidado de los sistemas y mercados que la componen.",NA,"spa"
"Extracting the sovereigns' CDS market hierarchy : a correlation-filtering approach","León-Rincón, Carlos Eduardo;Leiton-Rodríguez, Karen Juliet;Pérez-Villalobos, Jhonatan","2013-05-01","Borradores de Economía; No. 766","G11;C32;G10","Mercado sobre el mostrador;OTC;Deuda pública;análisis de redes","Correlation;Minimal spanning tree;Correlation-filtering;Sovereign;Credit default swap",NA,"Since correlation may be interpreted as a measure of the influence across time-series, it may be conveniently mapped into a distance and into a weighted adjacency matrix. Based on such matrix, network theory has attempted to filter out the noise in correl","spa"
"The impact of pre-announced day-to-day interventions on the colombian exchange rate","Echavarría-Soto, Juan José;Melo-Velandia, Luis Fernando;Téllez, Santiago;Villamizar-Villegas, Mauricio","2013-05-01","Borradores de Economía; No. 767","F31;E52;E58","Mercado sobre el mostrador;OTC;Deuda pública;análisis de redes","Central bank intervention;Reaction function;Tobit-GARCH;Foreign exchange intervention mechanisms;Capital controls;Dirty interventions",NA,"The adoption of a managed regime assumes that interventions are relatively successful. However, while some authors consider that foreign exchange interventions are ineffective, arguing that domestic and foreign assets are close substitutes, others advocat","spa"
"Subempleo por ingresos y funcionamiento del mercado de trabajo en Colombia","Arango-Thomas, Luis Eduardo;Escobar, Diana Carolina;Monsalve, Emma","2013-04-01","Borradores de Economía; No. 764","J31","Subempleo por ingresos;Funcionamiento del mercado laboral;Descomposición de la brecha salarial",NA,"El mercado laboral en Colombia funciona mucho mejor de lo que sugiere la alta tasa de subempleo la cual es sinónimo de ""empleo de baja calidad"" o ""condiciones de empleo inadecuado"". A juzgar por los componentes de la brecha de ingresos entre quienes no se quejan de su salario y quienes sí lo hacen, la tasa de subempleo efectiva en Colombia es mucho menor que la reportada en las estadísticas oficiales según las cuales una cuarta parte de la fuerza laboral es subempleada por ingresos. Para concluir lo anterior, se estimaron los salarios de empleados particulares y servidores públicos catalogados como plenamente ocupados y subempleados por ingresos. De igual manera, se estimó la brecha salarial entre ellos, para lo cual se utilizan tanto la ecuación de Mincer como la descomposición Blinder-Oaxaca y la metodología propuesta por Ñopo (2008). Los resultados indican que, aunque existe un diferencial de salarios entre ambos grupos, del orden de 40% a 44%, el componente no explicado del mismo es mucho menor (de 27% a 40% del mismo). Aunque algunos subempleados por ingresos podrían tener argumentos para considerarse como tales, presentamos evidencia que muestra que la 05r parte de la brecha es explicada por variables asociadas a capital humano. El diferencial se presenta con 05r nitidez en la parte alta de la distribución de los salarios: a más edad y 05r educación, 05r es el componente no explicado del mismo, y en los sectores de minas, transporte y construcción.",NA,"spa"
"Credit pro-cyclicality and bank balance sheet in Colombia","Hamann-Salcedo, Franz Alonso;Hernández, Rafael;Silva-Escobar, Luisa Fernanda;Tenjo-Galarza, Fernando","2013-04-01","Borradores de Economía; No. 762","G32;E32;G21","Subempleo por ingresos;Funcionamiento del mercado laboral;Descomposición de la brecha salarial","Banks;Credit;Leverage;Non-core liabilities;Balance sheet;Business cycle;Colombia",NA,"The recent financial crisis has renewed the interest of economists, both at the theoretical and empirical level, in developing a better understanding of credit and its mechanisms. A rapidly growing strand of the literature views banks as facing funding re","spa"
"Loans growth and banks' risk: new evidence","Amador-Torres, Juan Sebastián;Gómez-González, José Eduardo;Murcia, Andrés","2013-04-01","Borradores de Economía; No. 763","G20;G21","Subempleo por ingresos;Funcionamiento del mercado laboral;Descomposición de la brecha salarial","Abnormal loan growth;Hazard duration models",NA,"This study provides new evidence on the relationship between abnormal loan growth and banks' risk taking behavior, using data from a rich panel of Colombian financial institutions. We show that abnormal credit growth during a prolonged period of time lead","spa"
"Forecasting latin-american yield curves: an artificial neural network approach","Vela, Daniel","2013-03-01","Borradores de Economía; No. 761","G17;E43;C45;C32","Subempleo por ingresos;Funcionamiento del mercado laboral;Descomposición de la brecha salarial","Term structure of interest rates;Nelson y Siegel;Svensson;out-of-sample forecast;Artificial neural networks",NA,"This document explores the predictive power of the yield curves in Latin America (Colombia, Mexico, Peru and Chile) taking into account the factors set by the specifications of Nelson y Siegel and Svensson. Several forecasting methodologies are contrasted","spa"
"Mercados interbancarios no colateralizados e información asimétrica : un mecanismo","González-Sabogal, Camilo","2013-02-01","Borradores de Economía; No. 758","D82;G21;G11","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez",NA,"En este trabajo se proponen dos tipos de contratos para los préstamos interbancarios con el fin de que los bancos suavicen sus choques de liquidez a través del mercado interbancario. En particular, se estudia la situación en la que los bancos con faltantes de liquidez que tienen bajo riesgo de crédito abandonan el mercado debido a que la tasa de interés es alta en relación a su fuente alterna de financiamiento. La asimetría en la información acerca del riesgo de crédito impide que los bancos con excedentes de liquidez ajusten la tasa de interés considerando el riesgo de su contraparte. Dado lo anterior, se diseñan dos contratos para los créditos interbancarios que se diferencian en las tasas de interés cobradas. Así, siempre que un banco constituya un depósito podrá obtener liquidez a bajas tasas de interés; en la situación contraria la tasa será más elevada.",NA,"spa"
"Foreign exchange intervention in Colombia","Vargas-Herrera, Hernando;González-Gómez, Andrés;Rodríguez-Guzmán, Diego Arturo","2013-02-01","Borradores de Economía; No. 757","E37;F33;F32;F31","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Monetary policy;Foreign exchange intervention",NA,"Banco de la República's FX intervention policy is described, with a focus on its objectives and main features. Then, based on a survey of the effectiveness of sterilized intervention in Colombia, it is argued that this tool is not useful to cope with the","spa"
"Fiscal policy in a small open economy with oil sector and non-ricardian agents","González-Gómez, Andrés;López-Piñeros, Martha Rosalba;Rodríguez-Niño, Norberto;Téllez, Santiago","2013-02-01","Borradores de Economía; No. 759","E62;D91;E21","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Fiscal multipliers;Fiscal policy rules;Non-Ricardian households;DSGE model",NA,"In this paper we develop a dynamic stochastic general equilibrium fiscal model for the Colombian economy. The model has three main components: the existence of non-Ricardian households, price and wage rigidities, and a fiscal authority that finances gover","spa"
"Bidders' behaviour in government securities auctions : a case study for Colombia","Cardozo-Ortiz, Pamela Andrea","2013-02-01","Borradores de Economía; No. 760","G18;G28;D44","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Auctions;Government bond markets;Uniform-price auctions;Discriminatory- price auctions",NA,"The paper examines the bidders behaviour in the Colombian government bond auctions during 2007 for the period in which there is no uncertainty in the supply. Three main findings are presented. First, in contrast with other treasury auctions (Castellanos [","spa"
"Forecasting annual inflation with power transformations : the case of inflation targeting countries","Zárate-Solano, Hector Manuel;Rengifo-Gómez, Angélica","2013-02-01","Borradores de Economía; No. 756","C52;C22","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","ARIMA models;Power transformations;Seasonality;Bayesian analysis",NA,"This paper investigates whether transforming the Consumer Price Index with a class of power transformations lead to an improvement of inflation forecasting accuracy. We use one of the prototypical models to forecast short run inflation which is known as t","spa"
"The effect of adult criminals' spillovers on the likelihood of youths becoming criminals","Medina-Durango, Carlos Alberto;Tamayo-Castaño, Jorge Andrés;Posso-Suárez, Christian Manuel","2013-02-01","Borradores de Economía; No. 755","K40;K42;C31","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Crime;Social interactions",NA,"We use a unique data set at the individual level to estimate an empirical model explaining the probability of young individuals to become criminals as a function of the presence of adult criminals in their neighborhoods, an a complete set of control varia","spa"
"Authority centrality and hub centrality as metrics of systemic importance of financial market infrastructures","León-Rincón, Carlos Eduardo;Pérez-Villalobos, Jhonatan","2013-02-01","Borradores de Economía; No. 754","D85;G2;E42","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Financial market infrastructures;Systemic risk;Authority;Hub;Centrality;HITS algorithm;Too-connected-to-fail",NA,"Network analysis has been applied to identify systemically important financial institutions after the 2008 financial crisis. Such applications have stressed the importance of centrality within the too-connected-to-fail concept. Yet, despite their well-kno","spa"
"Enrollment and quality levels of Colombia's public basic education : has fiscal decentralization improved them?","Lozano-Espitia, Luis Ignacio;Martínez, María Adelaida","2013-01-01","Borradores de Economía; No. 747","H71;H41;I38;I22;H77","Mercado interbancario no colateralizado;Información asimétrica;Riesgo de crédito;Choques de liquidez","Public goods;Local taxation;Intergovernmental relations;Education expenditures;Government programs",NA,"This paper provides empirical evidence of the impact of fiscal decentralization on Colombia's public basic education. Based on the social and economic data available for 1,003 municipalities and 13,670 public schools, for the last decade, we confirmed tha","spa"
