"word","score","polarity"
"recrear",0.313,"positive"
"recto",0.438,"positive"
"refrescar",0.25,"positive"
"regocijado",0.667,"positive"
"regocijar",0.875,"positive"
"regocijarse",0.313,"positive"
"regocijo",0.25,"positive"
"respetable",0.906,"positive"
"saludable",0.768,"positive"
"sano",0.8,"positive"
"satisfacer",0.578,"positive"
"satisfactorio",0.75,"positive"
"satisfecho",0.6,"positive"
"seductor",0.7,"positive"
"seguro",0.255,"positive"
"sereno",0.297,"positive"
"simpatía",0.354,"positive"
"simpático",0.653,"positive"
"solazar",0.375,"positive"
"sonriente",1,"positive"
"sosegado",0.292,"positive"
"superior",0.4,"positive"
"ternura",0.313,"positive"
"tierno",0.375,"positive"
"tranquilizar",0.333,"positive"
"tónico",0.375,"positive"
"utilidad",0.344,"positive"
"vigorizante",0.625,"positive"
"vigorizar",0.375,"positive"
"útil",0.563,"positive"
"a_gusto",0.75,"positive"
"adorador",0.5,"positive"
"afectividad",0.625,"positive"
"afectuosidad",0.375,"positive"
"agradado",0.75,"positive"
"agradar",0.708,"positive"
"alborozar",1,"positive"
"alegrarse",1,"positive"
"altruista",0.25,"positive"
"amativo",0.25,"positive"
"amigable",0.542,"positive"
"amoroso",0.625,"positive"
"animarse",0.25,"positive"
"aprobado",0.5,"positive"
"aprobativo",1,"positive"
"aprobatorio",1,"positive"
"arrebatador",0.875,"positive"
"autocomplacencia",0.625,"positive"
"benefactor",0.938,"positive"
"beneficencia",0.688,"positive"
"beneficioso",0.917,"positive"
"benéfico",0.625,"positive"
"benévolo",0.438,"positive"
"buen_humor",0.813,"positive"
"buena_voluntad",0.5,"positive"
"bueno",0.5,"positive"
"cariñosamente",0.375,"positive"
"complacido",0.438,"positive"
"confiadamente",0.5,"positive"
"confort",0.5,"positive"
"contentamiento",0.5,"positive"
"contento",0.5,"positive"
"convencido",0.25,"positive"
"dar_confianza",0.5,"positive"
"dar_ánimos",0.75,"positive"
"desahogado",0.375,"positive"
"devoto",0.5,"positive"
"embebecimiento",0.5,"positive"
"embeleso",0.375,"positive"
"embriagar",0.5,"positive"
"encandilamiento",0.313,"positive"
"esperanzador",1,"positive"
"estimulador",0.75,"positive"
"exuberancia",0.625,"positive"
"exultación",0.375,"positive"
"fervoroso",0.75,"positive"
"fraternal",0.375,"positive"
"fraterno",0.375,"positive"
"fácil",0.25,"positive"
"fácilmente",0.25,"positive"
"gratificar",0.417,"positive"
"gratitud",0.417,"positive"
"habilidoso",0.875,"positive"
"hilarante",0.625,"positive"
"hilaridad",0.375,"positive"
"jocundidad",0.5,"positive"
"jovialidad",0.583,"positive"
"lealtad",0.313,"positive"
"motivar",0.25,"positive"
"optimístico",0.875,"positive"
"placidez",0.25,"positive"
"predilección",0.375,"positive"
"regocijador",0.625,"positive"
"risueño",0.833,"positive"
"saciable",0.625,"positive"
"satisfacible",0.625,"positive"
"satisfecho_de_sí_mismo",0.875,"positive"
"suertudo",0.75,"positive"
"superior",0.375,"positive"
"tranquilizado",0.5,"positive"
"tranquilizador",0.313,"positive"
"triunfo",0.25,"positive"
"triunfal",0.375,"positive"
"triunfante",0.563,"positive"
"ufano",0.438,"positive"
"venturoso",0.875,"positive"
"victorioso",0.583,"positive"
"vigorizador",0.625,"positive"
"vitorear",0.375,"positive"
"acaudalar",1,"positive"
"acogedor",0.775,"positive"
"afable",1,"positive"
"afortunadamente",0.875,"positive"
"alabar",1,"positive"
"amenidad",1,"positive"
"apreciado",0.875,"positive"
"armonioso",0.792,"positive"
"bendito",0.792,"positive"
"bien",0.792,"positive"
"bien_parecido",0.875,"positive"
"bonachón",1,"positive"
"buen_carácter",1,"positive"
"buen_estado_físico",0.875,"positive"
"buen_tipo",0.875,"positive"
"buena_forma",0.875,"positive"
"buena_forma_física",0.875,"positive"
"citable",0.813,"positive"
"clamoroso",1,"positive"
"clavado",0.875,"positive"
"conmovido",0.875,"positive"
"cooperativo",0.875,"positive"
"célebre",1,"positive"
"dar_aliento",1,"positive"
"deleitoso",0.875,"positive"
"destacable",1,"positive"
"dotado",0.875,"positive"
"en_forma",0.875,"positive"
"encomiable",1,"positive"
"esplendoroso",1,"positive"
"espléndido",0.771,"positive"
"exculpar",0.875,"positive"
"famoso",1,"positive"
"favorecedor",0.875,"positive"
"filántropo",1,"positive"
"finísimo",0.875,"positive"
"glorioso",0.833,"positive"
"harmonioso",0.875,"positive"
"hermoso",0.792,"positive"
"heroicidad",1,"positive"
"heroísmo",1,"positive"
"honorabilidad",0.813,"positive"
"honorado",0.875,"positive"
"idealizado",0.875,"positive"
"juicioso",0.833,"positive"
"laudable",1,"positive"
"lindo",0.875,"positive"
"loable",1,"positive"
"magistral",0.813,"positive"
"manitas",0.875,"positive"
"medrar",0.813,"positive"
"merecedor",0.813,"positive"
"meritorio",0.833,"positive"
"modoso",0.875,"positive"
"modélico",0.875,"positive"
"notable",0.775,"positive"
"pacífico",0.781,"positive"
"perfectamente",0.875,"positive"
"preferente",0.875,"positive"
"presentable",0.875,"positive"
"prosperar",0.813,"positive"
"prosperidad",1,"positive"
"punto_fuerte",0.875,"positive"
"querúbico",1,"positive"
"respetabilidad",0.875,"positive"
"respetado",0.875,"positive"
"respetar",0.875,"positive"
"rubicundo",0.813,"positive"
"salvamento",1,"positive"
"talentoso",0.875,"positive"
"ventajoso",1,"positive"
"óptimo",1,"positive"
"abordable",0.75,"positive"
"adecuada",0.75,"positive"
"adoptable",0.75,"positive"
"afirmativo",0.75,"positive"
"alcista",0.75,"positive"
"ameno",0.75,"positive"
"apegado",0.75,"positive"
"arrojado",0.75,"positive"
"beato",0.75,"positive"
"bendecido",0.75,"positive"
"beneficiarse",0.75,"positive"
"bien_hecho",0.75,"positive"
"bienaventuranza",0.75,"positive"
"bienvenido",0.75,"positive"
"bizarro",0.75,"positive"
"buena_disposición",0.75,"positive"
"canjeable",0.75,"positive"
"carismático",0.75,"positive"
"chistoso",0.75,"positive"
"cognoscible",0.75,"positive"
"confidente",0.75,"positive"
"confirmador",0.75,"positive"
"confirmante",0.75,"positive"
"congruencia",0.75,"positive"
"conocible",0.75,"positive"
"constructivo",0.75,"positive"
"corroborante",0.75,"positive"
"curativo",0.75,"positive"
"dar_permiso",0.75,"positive"
"dar_ventaja",0.75,"positive"
"deseable",0.75,"positive"
"dicha",0.75,"positive"
"elegible",0.75,"positive"
"enmendable",0.75,"positive"
"entrañable",0.75,"positive"
"escalable",0.75,"positive"
"estandarizado",0.75,"positive"
"estimado",0.75,"positive"
"exhuberancia",0.75,"positive"
"exitoso",0.75,"positive"
"experimentado",0.75,"positive"
"fastuoso",0.75,"positive"
"fehaciente",0.75,"positive"
"fidedigno",0.75,"positive"
"fotogénico",0.75,"positive"
"garboso",0.75,"positive"
"grato",0.75,"positive"
"guapo",0.75,"positive"
"halagüeño",0.75,"positive"
"harmonizado",0.75,"positive"
"hedonístico",0.75,"positive"
"hedónico",0.75,"positive"
"honor",0.75,"positive"
"honorablemente",0.75,"positive"
"honorífico",0.75,"positive"
"hospitalario",0.75,"positive"
"idoneidad",0.75,"positive"
"la_verdad",0.75,"positive"
"laudatorio",0.75,"positive"
"mejoría",0.75,"positive"
"obtener_frutos",0.75,"positive"
"panegírico",0.75,"positive"
"perito",0.75,"positive"
"plasticidad",0.75,"positive"
"polifacético",0.75,"positive"
"pujante",0.75,"positive"
"realzado",0.75,"positive"
"reconstructor",0.75,"positive"
"reformable",0.75,"positive"
"remediador",0.75,"positive"
"reír",0.75,"positive"
"sacar_provecho",0.75,"positive"
"sacar_ventaja",0.75,"positive"
"saciado",0.75,"positive"
"salubre",0.75,"positive"
"sanador",0.75,"positive"
"sublime",0.75,"positive"
"valedero",0.75,"positive"
"verificador",0.75,"positive"
"veterano",0.75,"positive"
"virtuosillo",0.75,"positive"
"virtuoso",0.75,"positive"
"voluntariamente",0.75,"positive"
"abundante",0.589,"positive"
"accesible",0.607,"positive"
"aceptabilidad",0.688,"positive"
"aceptable",0.688,"positive"
"acomodado",0.563,"positive"
"acompasado",0.625,"positive"
"aconsejable",0.625,"positive"
"acreditado",0.667,"positive"
"adecuado",0.656,"positive"
"administrable",0.625,"positive"
"admirabilidad",0.625,"positive"
"admirablemente",0.625,"positive"
"admisible",0.625,"positive"
"adornado",0.625,"positive"
"afabilidad",0.583,"positive"
"afectuosamente",0.625,"positive"
"agrado",0.625,"positive"
"alimenticio",0.625,"positive"
"amabilidad",0.547,"positive"
"angelical",0.583,"positive"
"anglofilia",0.625,"positive"
"antihelmíntico",0.625,"positive"
"antimicrobiano",0.625,"positive"
"apaciguable",0.625,"positive"
"aplaudir",0.625,"positive"
"aprobado",0.625,"positive"
"apropiado",0.656,"positive"
"aptitud",0.542,"positive"
"apto",0.557,"positive"
"apuesto",0.688,"positive"
"asíduo",0.625,"positive"
"atractividad",0.625,"positive"
"atrayente",0.583,"positive"
"autodidacta",0.625,"positive"
"autoimpuesto",0.625,"positive"
"auxiliar",0.542,"positive"
"axénico",0.625,"positive"
"bellaco",0.625,"positive"
"bello",0.708,"positive"
"bienaventurado",0.625,"positive"
"brillantez",0.594,"positive"
"bruñido",0.625,"positive"
"buena_persona",0.625,"positive"
"buena_salud",0.625,"positive"
"caballero",0.625,"positive"
"caballeroso",0.625,"positive"
"cachondo",0.625,"positive"
"calidad_superior",0.625,"positive"
"campeón",0.625,"positive"
"capaz",0.634,"positive"
"carácter_agradable",0.625,"positive"
"casto",0.563,"positive"
"catártico",0.688,"positive"
"cauteloso",0.521,"positive"
"cauto",0.531,"positive"
"celebrado",0.625,"positive"
"certificativo",0.625,"positive"
"certificatorio",0.625,"positive"
"chachi",0.688,"positive"
"chic",0.625,"positive"
"chusco",0.625,"positive"
"circunspecto",0.625,"positive"
"comedido",0.563,"positive"
"comestible",0.625,"positive"
"compatible",0.531,"positive"
"con_admiracion",0.625,"positive"
"con_tratamiento",0.625,"positive"
"conceptivo",0.625,"positive"
"conciliación",0.708,"positive"
"conciliado",0.625,"positive"
"confortable",0.625,"positive"
"congraciador",0.563,"positive"
"congruente",0.625,"positive"
"consagrado",0.688,"positive"
"consensuado",0.625,"positive"
"controlable",0.625,"positive"
"convalidar",0.625,"positive"
"conveniente",0.659,"positive"
"copioso",0.583,"positive"
"cordial",0.646,"positive"
"cordura",0.625,"positive"
"correctivo",0.563,"positive"
"corregible",0.625,"positive"
"creatividad",0.625,"positive"
"creativo",0.625,"positive"
"cualificado",0.667,"positive"
"culto",0.525,"positive"
"cumplir_lo_prometido",0.625,"positive"
"curativa",0.625,"positive"
"curativo",0.625,"positive"
"célibe",0.625,"positive"
"de_confianza",0.625,"positive"
"decencia",0.542,"positive"
"decible",0.625,"positive"
"decorado",0.625,"positive"
"decoro",0.625,"positive"
"decoroso",0.708,"positive"
"deducible",0.625,"positive"
"deferente",0.625,"positive"
"demostrativo",0.625,"positive"
"describible",0.625,"positive"
"descriptible",0.625,"positive"
"desenganchado",0.625,"positive"
"desenterrado",0.625,"positive"
"destreza",0.525,"positive"
"detallado",0.563,"positive"
"detenido",0.625,"positive"
"digno",0.667,"positive"
"disociar",0.625,"positive"
"dispuesto",0.563,"positive"
"distinguido",0.55,"positive"
"divertidísimo",0.625,"positive"
"docto",0.563,"positive"
"domesticable",0.625,"positive"
"edificante",0.625,"positive"
"educable",0.625,"positive"
"educado",0.609,"positive"
"educativo",0.563,"positive"
"efectividad",0.563,"positive"
"eficaz",0.583,"positive"
"eficiencia",0.625,"positive"
"elástico",0.6,"positive"
"embelesado",0.563,"positive"
"enardecedor",0.563,"positive"
"enciclopédico",0.625,"positive"
"entregado",0.625,"positive"
"entretenido",0.667,"positive"
"entretenimiento",0.531,"positive"
"equitativo",0.625,"positive"
"erudito",0.542,"positive"
"especializado",0.708,"positive"
"especificable",0.625,"positive"
"espíritu_bueno",0.625,"positive"
"estimable",0.563,"positive"
"eudemónico",0.625,"positive"
"exacto",0.625,"positive"
"expansivo",0.6,"positive"
"explicable",0.625,"positive"
"explícit",0.625,"positive"
"expresable",0.625,"positive"
"factible",0.625,"positive"
"fecundo",0.563,"positive"
"fenomenal",0.563,"positive"
"fiel",0.7,"positive"
"flamante",0.625,"positive"
"fogosidad",0.563,"positive"
"formalizado",0.625,"positive"
"formativo",0.625,"positive"
"formidable",0.542,"positive"
"fortalecido",0.625,"positive"
"frutal",0.625,"positive"
"fulgor",0.625,"positive"
"fértil",0.563,"positive"
"galante",0.625,"positive"
"galantear",0.625,"positive"
"gallardo",0.688,"positive"
"ganador",0.625,"positive"
"generosa",0.625,"positive"
"generosamente",0.625,"positive"
"genial",0.661,"positive"
"guay",0.542,"positive"
"habilitante",0.625,"positive"
"habitable",0.625,"positive"
"halagador",0.688,"positive"
"harmonizable",0.625,"positive"
"harmónico",0.625,"positive"
"helmíntico",0.625,"positive"
"hospitalidad",0.563,"positive"
"identificable",0.625,"positive"
"idílico",0.688,"positive"
"igualado",0.625,"positive"
"iluminarse",0.625,"positive"
"ilustrado",0.542,"positive"
"ilustre",0.708,"positive"
"imaginativo",0.625,"positive"
"imponente",0.667,"positive"
"incontaminado",0.625,"positive"
"indicado",0.679,"positive"
"inferible",0.625,"positive"
"informado",0.594,"positive"
"ingenioso",0.531,"positive"
"instruido",0.542,"positive"
"intelectual",0.594,"positive"
"inteligente",0.604,"positive"
"interesante",0.563,"positive"
"interesarse",0.563,"positive"
"interpretable",0.625,"positive"
"inventivo",0.625,"positive"
"invicto",0.625,"positive"
"iterativo",0.563,"positive"
"juguetón",0.563,"positive"
"justificable",0.625,"positive"
"ladino",0.625,"positive"
"leal",0.7,"positive"
"letrado",0.563,"positive"
"lisonjero",0.688,"positive"
"lógico",0.625,"positive"
"majestuoso",0.719,"positive"
"manejable",0.625,"positive"
"maravilloso",0.719,"positive"
"medicinal",0.625,"positive"
"mejor",0.625,"positive"
"merecido",0.625,"positive"
"mesurado",0.542,"positive"
"miramiento",0.688,"positive"
"mitigable",0.625,"positive"
"moralizador",0.625,"positive"
"máximo",0.625,"positive"
"no_alarmante",0.625,"positive"
"noble",0.542,"positive"
"nutritivo",0.688,"positive"
"obediente",0.542,"positive"
"observable",0.625,"positive"
"observancia",0.625,"positive"
"ocurrente",0.625,"positive"
"operable",0.625,"positive"
"oportuno",0.542,"positive"
"optimista",0.625,"positive"
"opulento",0.625,"positive"
"parasiticida",0.625,"positive"
"pasable",0.542,"positive"
"patente",0.542,"positive"
"pausado",0.625,"positive"
"perfectibilidad",0.625,"positive"
"perfecto",0.625,"positive"
"perseverante",0.563,"positive"
"pertinente",0.563,"positive"
"pinchable",0.625,"positive"
"plenario",0.625,"positive"
"pletórico",0.625,"positive"
"popularidad",0.625,"positive"
"practicable",0.625,"positive"
"precaución",0.583,"positive"
"precioso",0.675,"positive"
"preciso",0.641,"positive"
"precocinado",0.625,"positive"
"preferible",0.625,"positive"
"preparado",0.531,"positive"
"preponderante",0.625,"positive"
"presciente",0.625,"positive"
"preservable",0.625,"positive"
"prestigioso",0.688,"positive"
"previsor",0.542,"positive"
"privilegiado",0.688,"positive"
"probado",0.542,"positive"
"procedencia",0.688,"positive"
"productivo",0.521,"positive"
"productor",0.625,"positive"
"profiláctico",0.542,"positive"
"progresar",0.688,"positive"
"prolífero",0.563,"positive"
"prolífico",0.563,"positive"
"promover",0.583,"positive"
"propiciador",0.625,"positive"
"propicio",0.563,"positive"
"proteccionista",0.625,"positive"
"prudente",0.578,"positive"
"práctico",0.521,"positive"
"próspero",0.7,"positive"
"purificado",0.563,"positive"
"querido",0.625,"positive"
"racional",0.604,"positive"
"razonable",0.625,"positive"
"reciclable",0.625,"positive"
"reconciliador",0.625,"positive"
"reconstituyente",0.563,"positive"
"recuperativo",0.625,"positive"
"rehabilitador",0.688,"positive"
"reiterativo",0.563,"positive"
"remedio",0.625,"positive"
"remirado",0.625,"positive"
"rentable",0.625,"positive"
"repetible",0.625,"positive"
"respetuoso",0.625,"positive"
"retozón",0.625,"positive"
"retribuido",0.625,"positive"
"reverendo",0.625,"positive"
"reverente",0.688,"positive"
"revivificar",0.688,"positive"
"sabio",0.625,"positive"
"sagaz",0.534,"positive"
"salir_adelante",0.625,"positive"
"salvador",0.625,"positive"
"santificado",0.625,"positive"
"santo",0.625,"positive"
"selecto",0.6,"positive"
"semiconductor",0.625,"positive"
"sensato",0.571,"positive"
"sentido",0.625,"positive"
"seriocómico",0.625,"positive"
"servible",0.542,"positive"
"servir_para",0.625,"positive"
"sexi",0.625,"positive"
"sibarítico",0.625,"positive"
"significante",0.542,"positive"
"significativo",0.542,"positive"
"simplificado",0.625,"positive"
"sin_enterrar",0.625,"positive"
"sincero",0.7,"positive"
"sobreabundante",0.625,"positive"
"socarrón",0.625,"positive"
"sociable",0.542,"positive"
"soportador",0.625,"positive"
"sostenible",0.563,"positive"
"suficiente",0.563,"positive"
"superabundante",0.625,"positive"
"sustancioso",0.542,"positive"
"súper",0.688,"positive"
"tener_éxito",0.625,"positive"
"terapéutico",0.625,"positive"
"testeado",0.625,"positive"
"tibio",0.625,"positive"
"tolerable",0.625,"positive"
"torneado",0.688,"positive"
"tratable",0.521,"positive"
"triumfar",0.625,"positive"
"valioso",0.688,"positive"
"vencedor",0.625,"positive"
"venerado",0.563,"positive"
"veraz",0.563,"positive"
"viable",0.563,"positive"
"victoria",0.625,"positive"
"vitalizante",0.625,"positive"
"vivificante",0.625,"positive"
"vocálico",0.625,"positive"
"voluptuoso",0.583,"positive"
"ético",0.625,"positive"
"a_buena_fé",0.5,"positive"
"absorto",0.5,"positive"
"abundoso",0.5,"positive"
"acaudalado",0.5,"positive"
"acelerado",0.5,"positive"
"aceptador",0.5,"positive"
"acicalado",0.5,"positive"
"aclamación",0.5,"positive"
"acomodaticio",0.5,"positive"
"aconsejado",0.5,"positive"
"actualizado",0.5,"positive"
"adaptado",0.5,"positive"
"adecuación",0.5,"positive"
"adinerado",0.5,"positive"
"admisibilidad",0.5,"positive"
"admisivo",0.5,"positive"
"adorable",0.5,"positive"
"adorado",0.5,"positive"
"adrenocorticotrópico",0.5,"positive"
"afirmativo",0.5,"positive"
"ahorrador",0.5,"positive"
"ahorrativo",0.5,"positive"
"airosidad",0.5,"positive"
"ajustable",0.5,"positive"
"al_día",0.5,"positive"
"alabanza",0.5,"positive"
"alabar_con_exceso",0.5,"positive"
"alcista",0.5,"positive"
"aligerar",0.5,"positive"
"allegro_con_spirito",0.5,"positive"
"alquilable",0.5,"positive"
"altilocuente",0.5,"positive"
"amado",0.5,"positive"
"amalgamado",0.5,"positive"
"ambidiestro",0.5,"positive"
"ameliorar",0.5,"positive"
"amentífero",0.5,"positive"
"amovible",0.5,"positive"
"anacorítico",0.5,"positive"
"antimonopolio",0.5,"positive"
"antiséptico",0.5,"positive"
"apaciguador",0.5,"positive"
"apareado",0.5,"positive"
"apasionante",0.5,"positive"
"aplanético",0.5,"positive"
"aplicable",0.5,"positive"
"aplicado",0.5,"positive"
"apodíctico",0.5,"positive"
"apoyado",0.5,"positive"
"aprendido",0.5,"positive"
"arable",0.5,"positive"
"ascendible",0.5,"positive"
"asociable",0.5,"positive"
"aséptico",0.5,"positive"
"atractivo",0.5,"positive"
"autosuficiente",0.5,"positive"
"averiguable",0.5,"positive"
"aviejarse",0.5,"positive"
"avivado",0.5,"positive"
"azul_marino",0.5,"positive"
"bastante",0.5,"positive"
"beatificado",0.5,"positive"
"beatífico",0.5,"positive"
"bebido",0.5,"positive"
"bien_definidos",0.5,"positive"
"bien_educado",0.5,"positive"
"bienintencionado",0.5,"positive"
"bordeado",0.5,"positive"
"bromista",0.5,"positive"
"buen_gusto",0.5,"positive"
"buen_tiempo",0.5,"positive"
"buenas_condiciones",0.5,"positive"
"cadencioso",0.5,"positive"
"cadente",0.5,"positive"
"cantable",0.5,"positive"
"característico",0.5,"positive"
"caritativo",0.5,"positive"
"casadero",0.5,"positive"
"centralizador",0.5,"positive"
"civilidad",0.5,"positive"
"colmado",0.5,"positive"
"combustible",0.5,"positive"
"comedia",0.5,"positive"
"compatiblemente",0.5,"positive"
"comprimible",0.5,"positive"
"comprobable",0.5,"positive"
"concienciable",0.5,"positive"
"conciliador",0.5,"positive"
"condicionado",0.5,"positive"
"conductivo",0.5,"positive"
"conductor",0.5,"positive"
"conformar",0.5,"positive"
"consentimiento_tácito",0.5,"positive"
"constitucional",0.5,"positive"
"constructividad",0.5,"positive"
"consumado",0.5,"positive"
"consumar",0.5,"positive"
"contestable",0.5,"positive"
"copetudo",0.5,"positive"
"correctitud",0.5,"positive"
"cuaderno_de_escritura",0.5,"positive"
"cultivable",0.5,"positive"
"curable",0.5,"positive"
"cursi",0.5,"positive"
"dadivoso",0.5,"positive"
"dar_el_éxito",0.5,"positive"
"de_la_estación",0.5,"positive"
"definible",0.5,"positive"
"delectable",0.5,"positive"
"desafectado",0.5,"positive"
"desambiguedad",0.5,"positive"
"descansado",0.5,"positive"
"desconfiadamente",0.5,"positive"
"descubrible",0.5,"positive"
"desegregación",0.5,"positive"
"desencantar",0.5,"positive"
"desgravable",0.5,"positive"
"desinflación",0.5,"positive"
"desmontable",0.5,"positive"
"despavilado",0.5,"positive"
"despejado",0.5,"positive"
"determinable",0.5,"positive"
"diagnosticable",0.5,"positive"
"digestibilidad",0.5,"positive"
"digestible",0.5,"positive"
"discernible",0.5,"positive"
"disciplinal",0.5,"positive"
"diserto",0.5,"positive"
"disputable",0.5,"positive"
"distinguible",0.5,"positive"
"dorado",0.5,"positive"
"dúctil",0.5,"positive"
"ecléctico",0.5,"positive"
"elocuente",0.5,"positive"
"emancipador",0.5,"positive"
"embergadura",0.5,"positive"
"embriagador",0.5,"positive"
"emocionante",0.5,"positive"
"emplumado",0.5,"positive"
"empático",0.5,"positive"
"en_términos_morales",0.5,"positive"
"encadenado",0.5,"positive"
"energizante",0.5,"positive"
"energético",0.5,"positive"
"enfundado",0.5,"positive"
"enjoyado",0.5,"positive"
"ennoblecedor",0.5,"positive"
"envainado",0.5,"positive"
"envejecerse",0.5,"positive"
"epicúreo",0.5,"positive"
"epigramático",0.5,"positive"
"equilibrio_mental",0.5,"positive"
"eremitíco",0.5,"positive"
"escogido",0.5,"positive"
"esmaltado",0.5,"positive"
"espaldarazo",0.5,"positive"
"espavilado",0.5,"positive"
"especialización",0.5,"positive"
"espiritualidad",0.5,"positive"
"estabilidad",0.5,"positive"
"estabilizador",0.5,"positive"
"estudioso",0.5,"positive"
"estético",0.5,"positive"
"eufonía",0.5,"positive"
"eufónico",0.5,"positive"
"eugenesia",0.5,"positive"
"eugenismo",0.5,"positive"
"evidencial",0.5,"positive"
"evitable",0.5,"positive"
"exhaustivo",0.5,"positive"
"exhausto",0.5,"positive"
"exhortatorio",0.5,"positive"
"exotérico",0.5,"positive"
"expeditivo",0.5,"positive"
"explicitación",0.5,"positive"
"explicitud",0.5,"positive"
"extensísimo",0.5,"positive"
"extenuado",0.5,"positive"
"fama",0.5,"positive"
"fascinado",0.5,"positive"
"fascinador",0.5,"positive"
"fatigado",0.5,"positive"
"fertilidad",0.5,"positive"
"festejo",0.5,"positive"
"fiducial",0.5,"positive"
"filmable",0.5,"positive"
"fisionable",0.5,"positive"
"flexionado",0.5,"positive"
"focalizado",0.5,"positive"
"forrado",0.5,"positive"
"fortalecedor",0.5,"positive"
"galanteo",0.5,"positive"
"ganancioso",0.5,"positive"
"ganarse_el_cariño",0.5,"positive"
"gazmoño",0.5,"positive"
"germinal",0.5,"positive"
"gozo",0.5,"positive"
"graciosidad",0.5,"positive"
"grandiosidad",0.5,"positive"
"hacer_atractivo",0.5,"positive"
"hacer_atrayente",0.5,"positive"
"halagar",0.5,"positive"
"higiénico",0.5,"positive"
"hipertónico",0.5,"positive"
"hipnotizado",0.5,"positive"
"histriónico",0.5,"positive"
"homeopatía",0.5,"positive"
"honores",0.5,"positive"
"immaculado",0.5,"positive"
"impresionable",0.5,"positive"
"impudente",0.5,"positive"
"incambiable",0.5,"positive"
"incitante",0.5,"positive"
"inclusivo",0.5,"positive"
"incorrupción",0.5,"positive"
"indisimulado",0.5,"positive"
"influenciable",0.5,"positive"
"innovador",0.5,"positive"
"insolvente",0.5,"positive"
"intachable",0.5,"positive"
"intencional",0.5,"positive"
"invalorable",0.5,"positive"
"jocoso",0.5,"positive"
"juego_de_salón",0.5,"positive"
"justiciable",0.5,"positive"
"labrantío",0.5,"positive"
"laureado",0.5,"positive"
"laurear",0.5,"positive"
